DCC104;SEMINARIO EM COMPUTACAO VIII;A;4a 19-21;;2;P14;IGOR KNOP;02.AVAN.;Noturno
DCC107;LABORATÓRIO DE PROGRAMAÇÃO II;A;2a 19-21;;2;P40;SAULO;02.AVAN.;Noturno
DCC107;LABORATÓRIO DE PROGRAMAÇÃO II;AA;2a 19-21;;2;P12;HEDER;02.AVAN.;Noturno
DCC121;LABORATÓRIO DE PROGRAMAÇÃO WEB;A;4a 21-23;;2;P14;IGOR KNOP;02.AVAN.;Noturno
DCC156;LABORATÓRIO DE PROGRAMAÇÃO IV;A;4a 19-21;6a 19-21;2;P9;CIRO;02.AVAN.;Noturno
EADDCC031;LINGUAGEM DE PROGRAMAÇÃO II;A;EAD;;4;P37;ROMUALDO;02.AVAN.;EAD
EADDCC035;PROGRAMAÇÃO PARA WEB II;A;EAD;;4;P44;VICTOR;02.AVAN.;EAD
DCC062;SISTEMAS OPERACIONAIS;A;3a 16-18;5a 14-16;4;P28;MORENO;03.ARQ/SO;Diurno
DCC070;ORGANIZAÇÃO DE COMPUTADORES;A;2a 21-23;4a 19-21;4;P21;LOBOSCO;03.ARQ/SO;Noturno
DCC071;LABORATÓRIO DE SISTEMAS OPERACIONAIS;A;3a 19-21;;2;P28;MORENO;03.ARQ/SO;Noturno
DCC122;CIRCUITOS DIGITAIS;A;2a 14-16;6a 16-18;4;P5;BARRERE;03.ARQ/SO;Diurno
DCC125;PROGRAMAÇÃO PARALELA;A;2a 10-12;4a 10-12;4;P36;RODRIGO WEBER;03.ARQ/SO;Diurno
EADDCC006;INTRODUÇÃO AOS SISTEMAS OPERACIONAIS;A;EAD;;2;P5;BARRERE;03.ARQ/SO;EAD
EADDCC007;FUNDAMENTOS DA ORGANIZAÇÃO DE COMPUTADORES;A;EAD;;2;P5;BARRERE;03.ARQ/SO;EAD
DCC060;BANCO DE DADOS;A;4a 21-23;5a 19-21;4;P44;VICTOR;04.BD;Noturno
DCC077;ASPECTOS AVANCADOS EM BANCO DE DADOS;A;2a 19-21;3a 21-23;4;P4;ARBEX;04.BD;Noturno
DCC164;RECUPERAÇÃO DA INFORMAÇÃO;A;2a 16-18;5a 14-16;4;P17;JAIRO;04.BD;Diurno
DCC166;SISTEMAS DE APOIO À DECISÃO;A;3a 19-21;5a 21-23;4;P4;ARBEX;04.BD;Noturno
DCC065;COMPUTACAO GRAFICA;A;4a 14-16;6a 16-18;4;P35;RODRIGO LUIS;05.CG;Diurno
DCC066;PROCESSAMENTO DE IMAGENS;A;3a 19-21;5a 21-23;4;P6;BERNARDES;05.CG;Noturno
DCC191;VISUALIZACAO CIENTIFICA;A;3a 10-12;5a 10-12;4;P32;RAFAEL;05.CG;Diurno
DCC025;ORIENTAÇÃO A OBJETOS;A;2a 16-18;6a 16-18;4;P43;VANIA;06.ES;Diurno
DCC025;ORIENTAÇÃO A OBJETOS;AA;2a 16-18;6a 16-18;4;P27;MARCO;06.ES;Diurno
DCC061;ENGENHARIA DE SOFTWARE;A;3a 14-16;5a 16-18;4;P1;ALESSANDREIA;06.ES;Diurno
DCC117;MODELAGEM DE SISTEMAS;A;3a 21-23;6a 21-23;4;P3;ANDRE;06.ES;Noturno
